Nexgro Company,Co-Op Name,Folio Account Number,Description,Silo,Grade,Units,Price,Total Excl,Vat,Total Incl
SENWES,AGI,401664,,AGI,,6.56,72.89,478.16,71.72,549.88
OVERBERG AGRI BEDRYWE,ABSA / UNIGRAIN,802962, GARS VOORRAAD OORDRAG ADMIN KOSTE ,ABSA / UNIGRAIN,KOSTE,1.0,351.83,351.83,52.77,404.6
OVERBERG AGRI BEDRYWE,ABSA / UNIGRAIN,802962,Voorraad vanaf Koper HESG ,ABSA / UNIGRAIN,HESG,4.8,189.323,908.75,136.31,1045.06
OVERBERG AGRI BEDRYWE,ABSA / UNIGRAIN,802962,Voorraad vanaf Koper HESH ,ABSA / UNIGRAIN,HESH,4.8,176.508,847.24,127.09,974.33
OVERBERG AGRI BEDRYWE,ABSA / UNIGRAIN,802962,Voorraad vanaf Koper HESK ,ABSA / UNIGRAIN,HESK,4.8,337.075,1617.96,242.69,1860.65
OVERBERG AGRI BEDRYWE,ABSA / UNIGRAIN,802962,Voorraad vanaf Koper HESL ,ABSA / UNIGRAIN,HESL,4.8,190.994,916.77,137.52,1054.29
OVERBERG AGRI BEDRYWE,ABSA / UNIGRAIN,802962,Voorraad vanaf Koper HESW ,ABSA / UNIGRAIN,HESW,4.8,16.996,81.58,12.24,93.82
OVERBERG AGRI BEDRYWE,ABSA / UNIGRAIN,802962,Voorraad vanaf Koper KADE ,ABSA / UNIGRAIN,KADE,4.8,466.153,2237.53,335.63,2573.16
OVERBERG AGRI BEDRYWE,ABSA / UNIGRAIN,802962,Voorraad vanaf Koper KADH ,ABSA / UNIGRAIN,KADH,4.8,86.794,416.61,62.49,479.1
OVERBERG AGRI BEDRYWE,ABSA / UNIGRAIN,802962,Voorraad vanaf Koper KADL ,ABSA / UNIGRAIN,KADL,4.8,498.41,2392.37,358.86,2751.23
OVERBERG AGRI BEDRYWE,ABSA / UNIGRAIN,802962,Voorraad vanaf Koper MALH ,ABSA / UNIGRAIN,MALH,4.8,111.405,534.74,80.21,614.95
OVERBERG AGRI BEDRYWE,ABSA / UNIGRAIN,802962,Voorraad vanaf Koper MALL ,ABSA / UNIGRAIN,MALL,4.8,82.987,398.34,59.75,458.09
